page number,1st recipe on page,1st google search result,instructions
57,singapore sling,https://www.thespruceeats.com/singapore-sling-recipe-760602,Gather the ingredients.
,,,"Pour the gin, Bénédictine, lime juice, cherry liqueur, and simple syrup into a cocktail shaker filled with ice cubes."
,,,Shake well.
,,,Strain into a highball glass over fresh ice.
,,,Top with club soda.
,,,Garnish with a lemon slice and cherry. Enjoy.
59,manhattan,https://www.liquor.com/recipes/manhattan-2/,"Add all the bourbon, sweet vermouth and both bitters to a mixing glass with ice, and stir until well-chilled."
,,,Strain into a chilled coupe.
,,,Garnish with a brandied cherry.
61,pina colada,https://www.foodnetwork.com/recipes/pina-colada-recipe0-1956362,"Put the ice, frozen pineapple, juice, coconut cream, and the white and dark rums into a blender."
,,,Blend until smooth and frosty.
,,,Pour the drink into 2 glasses and garnish the rim with pineapple slices.
68,wassail,https://www.yummyhealthyeasy.com/best-ever-hot-wassail-recipe/,Combine all ingredients in a large pan.
,,,Bring to simmer over medium-low heat. Reduce heat and continue simmering for 45 minutes. 
,,,Ladle into cups or mugs and enjoy!
80,buffalo chicken wings,https://www.dinneratthezoo.com/baked-buffalo-wings/,Preheat the oven to 400 degrees. 
,,,Line a sheet pan with foil and place a non stick oven safe rack on top of the pan.
,,,Place the chicken wings in a bowl. 
,,,"Add the baking powder, salt, pepper, garlic powder and onion powder."
,,,Toss to coat the chicken evenly with the baking powder and spices.
,,,Place the wings on the rack in a single layer.
,,,Bake for 45 minutes or until wings are light golden brown and crispy.
,,,"In a small bowl, whisk together the hot sauce, butter and honey."
,,,Pour the sauce over the wings and toss to coat evenly.
,,,Serve with celery sticks and ranch dressing.
103,chicken or turkey potpie,https://www.spendwithpennies.com/turkey-pot-pie/,Preheat oven to 400°F. 
,,,Whisk egg with 1 tablespoon water. 
,,,Set aside.
,,,"Cook onion in butter over medium low heat until tender, about 5 minutes."
,,,"Add flour, poultry seasoning, thyme, salt & pepper."
,,,Cook 2 minutes more.
,,,Whisk in chicken broth and milk a little bit at a time stirring after each addition.
,,,It will seem thick at first but will smooth out.
,,,"Bring to a boil over medium heat, simmer 1 minute and remove from heat. "
,,,Stir in turkey and vegetables.
,,,"Line a 9"" pie plate with one of the crusts. "
,,,Fill with turkey filling. 
,,,Brush edges of crust with egg wash and top with second crust.
,,,Pinch edges to seal and cut a few slits to vent pie. 
,,,Brush with egg wash.
,,,Bake 35-40 minutes or until lightly browned and filling is bubbly.
,,,Cool for 10-15 minutes before cutting.
112,welsh rarebit,https://www.foodnetwork.com/recipes/alton-brown/welsh-rarebit-recipe-1914850,"In a medium saucepan over low heat, melt the butter and whisk in the flour."
,,,"Cook, whisking constantly for 2 to 3 minutes, being careful not to brown the flour."
,,,"Whisk in mustard, Worcestershire sauce, salt, and pepper until smooth."
,,,Add beer and whisk to combine.
,,,Pour in cream and whisk until well combined and smooth.
,,,"Gradually add cheese, stirring constantly, until cheese melts and sauce is smooth; this will take 4 to 5 minutes."
,,,Add hot sauce.
,,,Pour over toast and serve immediately.
119,shrimp stock,https://www.simplyscratch.com/2016/08/homemade-shrimp-stock.html,"Add the oil, shrimp shells, onion, carrots, celery and garlic to a heavy bottom pot that has a tight fitted lid."
